step,time_min,time_h,load_multiplier,pv_multiplier,pv_generation_kw,v_min,v_max,v_mean,v_min_bus,v_max_bus,violating_buses_count,overvoltage_buses_count,undervoltage_buses_count,losses_kw,control_mode,total_q_dispatch_kvar,total_p_curtailment_kw,ders_controlled,optimization_status,sensitivity_cache_hit
72,360,6.0,0.65,0.08,103.2,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
73,365,6.083333333333333,0.6633333333333333,0.09666666666666661,124.69999999999993,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
74,370,6.166666666666667,0.6766666666666667,0.1133333333333334,146.20000000000007,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
75,375,6.25,0.69,0.13,167.70000000000002,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
76,380,6.333333333333333,0.7033333333333333,0.1466666666666666,189.19999999999993,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
77,385,6.416666666666667,0.7166666666666667,0.16333333333333339,210.70000000000007,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
78,390,6.5,0.73,0.18,232.2,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
79,395,6.583333333333333,0.7416666666666666,0.19999999999999993,257.9999999999999,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
80,400,6.666666666666667,0.7533333333333334,0.22000000000000006,283.80000000000007,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
81,405,6.75,0.765,0.24,309.59999999999997,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
82,410,6.833333333333333,0.7766666666666666,0.2599999999999999,335.39999999999986,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
83,415,6.916666666666667,0.7883333333333334,0.28,361.20000000000005,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
84,420,7.0,0.8,0.3,387.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
85,425,7.083333333333333,0.81,0.3249999999999999,419.2499999999999,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
86,430,7.166666666666667,0.8200000000000001,0.3500000000000001,451.5000000000001,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
87,435,7.25,0.8300000000000001,0.375,483.75,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
88,440,7.333333333333333,0.84,0.3999999999999999,515.9999999999999,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
89,445,7.416666666666667,0.8500000000000001,0.4250000000000001,548.2500000000001,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
90,450,7.5,0.86,0.45,580.5,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
91,455,7.583333333333333,0.8666666666666666,0.4749999999999999,612.7499999999999,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
92,460,7.666666666666667,0.8733333333333334,0.5000000000000001,645.0000000000001,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
93,465,7.75,0.88,0.525,677.25,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
94,470,7.833333333333333,0.8866666666666666,0.5499999999999999,709.4999999999999,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
95,475,7.916666666666667,0.8933333333333334,0.5750000000000001,741.7500000000001,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
96,480,8.0,0.9,0.6,774.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
97,485,8.083333333333334,0.9033333333333334,0.6216666666666668,801.9500000000002,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
98,490,8.166666666666666,0.9066666666666666,0.6433333333333332,829.8999999999999,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
99,495,8.25,0.91,0.665,857.85,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
100,500,8.333333333333334,0.9133333333333334,0.6866666666666668,885.8000000000001,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
101,505,8.416666666666666,0.9166666666666666,0.7083333333333331,913.7499999999998,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
102,510,8.5,0.92,0.73,941.6999999999999,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
103,515,8.583333333333334,0.9216666666666667,0.7466666666666668,963.2000000000002,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
104,520,8.666666666666666,0.9233333333333333,0.7633333333333332,984.6999999999998,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
105,525,8.75,0.925,0.78,1006.2,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
106,530,8.833333333333334,0.9266666666666667,0.7966666666666667,1027.7,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
107,535,8.916666666666666,0.9283333333333333,0.8133333333333331,1049.1999999999998,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
108,540,9.0,0.93,0.83,1070.7,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
109,545,9.083333333333334,0.9316666666666668,0.8416666666666667,1085.75,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
110,550,9.166666666666666,0.9333333333333333,0.8533333333333333,1100.8,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
111,555,9.25,0.935,0.865,1115.85,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
112,560,9.333333333333334,0.9366666666666666,0.8766666666666667,1130.9,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
113,565,9.416666666666666,0.9383333333333332,0.8883333333333333,1145.95,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
114,570,9.5,0.94,0.9,1161.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
115,575,9.583333333333334,0.94,0.9066666666666667,1169.6000000000001,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
116,580,9.666666666666666,0.94,0.9133333333333333,1178.2,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
117,585,9.75,0.94,0.9199999999999999,1186.8,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
118,590,9.833333333333334,0.94,0.9266666666666666,1195.3999999999999,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
119,595,9.916666666666666,0.94,0.9333333333333332,1203.9999999999998,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
120,600,10.0,0.94,0.94,1212.6,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
121,605,10.083333333333334,0.9383333333333332,0.945,1219.05,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
122,610,10.166666666666666,0.9366666666666666,0.95,1225.5,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
123,615,10.25,0.935,0.955,1231.95,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
124,620,10.333333333333334,0.9333333333333333,0.96,1238.3999999999999,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
125,625,10.416666666666666,0.9316666666666668,0.965,1244.85,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
126,630,10.5,0.93,0.97,1251.3,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
127,635,10.583333333333334,0.9283333333333333,0.9733333333333334,1255.6000000000001,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
