step,time_min,time_h,load_multiplier,pv_multiplier,pv_generation_kw,v_min,v_max,v_mean,v_min_bus,v_max_bus,violating_buses_count,overvoltage_buses_count,undervoltage_buses_count,losses_kw,control_mode,total_q_dispatch_kvar,total_p_curtailment_kw,ders_controlled,overv_sourcebus,overv_650,overv_rg60,overv_633,overv_634,overv_671,overv_645,overv_646,overv_692,overv_675,overv_611,overv_652,overv_670,overv_632,overv_680,overv_684
44,220,3.6666666666666665,0.4633333333333333,0.0,0.0,1.0000566734228966,1.0333516395063003,1.0162772571301533,650,rg60,0,0,0,21.33659325725601,baseline,0,0,0,1.0000649609220573,1.0000566734228966,1.0333516395063003,1.0223355959612224,1.0129932480497141,1.019811219575234,1.0210744518937518,1.0201962212191615,1.0198112168837763,1.0196819982424532,1.007044368708103,1.0091905050047123,1.0219871084884007,1.0234868595656872,1.0198112335930316,1.0095388130459477
45,225,3.75,0.46499999999999997,0.0,0.0,1.000056322892584,1.0333510699934336,1.0161781952323716,650,rg60,0,0,0,21.495140379359736,baseline,0,0,0,1.0000646884651898,1.000056322892584,1.0333510699934336,1.0222572933386747,1.012880241068639,1.0196872844938774,1.0209954088070758,1.0201140855399928,1.0196872817923714,1.0195522013090443,1.0068232660996932,1.0090306965615008,1.0218953395150356,1.0234128316012876,1.0196872985100682,1.0093558137294798
46,230,3.8333333333333335,0.4666666666666667,0.0,0.0,1.0000559722274518,1.0333505002932515,1.0160791059370897,650,rg60,0,0,0,21.654477141348302,baseline,0,0,0,1.0000644159064742,1.0000559722274518,1.0333505002932515,1.022178966695883,1.012767201585067,1.0195633137261713,1.0209163472280474,1.0200319318610602,1.0195633110146152,1.0194223665708126,1.006602105252097,1.0088708480808748,1.0218035424140808,1.023338780644974,1.0195633277407554,1.0091727637518209
47,235,3.9166666666666665,0.4683333333333333,0.0,0.0,1.0000556214290952,1.033349930409328,1.0159799897539545,650,rg60,0,0,0,21.814602142442652,baseline,0,0,0,1.0000641432472424,1.0000556214290952,1.033349930409328,1.0221006164479658,1.0126541300108176,1.019439308070153,1.0208372674350987,1.0199497604604373,1.0194393053485435,1.0192924948258966,1.0063808865526445,1.0087109609154887,1.0217117177312744,1.0232647071122347,1.0194393220831302,1.0089896639839202
48,240,4.0,0.47,0.0,0.0,1.0000552704939725,1.0333493603341568,1.0158808454349977,650,rg60,0,0,0,21.975520500484482,baseline,0,0,0,1.0000638704845775,1.0000552704939725,1.0333493603341568,1.0220222418983986,1.0125410256377354,1.0193152662602536,1.0207581683741838,1.019867570282435,1.0193152635285871,1.0191625847996846,1.0061596031734334,1.008551035373967,1.0216198645688868,1.0231906103078996,1.0193152802716225,1.0088065111701674
49,245,4.083333333333333,0.4716666666666666,0.0,0.0,1.0000549194242898,1.0333487900724363,1.0157816738427323,650,rg60,0,0,0,22.13722920814442,baseline,0,0,0,1.0000635976202987,1.0000549194242898,1.0333487900724363,1.021943843373805,1.0124278887866476,1.0191911888597158,1.0206790509426962,1.0197853622273092,1.0191911861179894,1.0190326370589966,1.0059382625480877,1.0083910695924085,1.0215279833421238,1.0231164905593133,1.0191912028694765,1.008623308088122
50,250,4.166666666666667,0.47333333333333333,0.0,0.0,1.0000545682182918,1.0333482196204893,1.0156824743570336,650,rg60,0,0,0,22.299731064729443,baseline,0,0,0,1.0000633246529642,1.0000545682182918,1.0333482196204893,1.0218654205399869,1.012314719114202,1.0190670752680402,1.02059991461108,1.0197031357646553,1.0190670725162514,1.01890265099778,1.0057168610690235,1.0082310638385372,1.021436073622152,1.0230423475333756,1.0190670892761924,1.0084400530695175
51,255,4.25,0.475,0.0,0.0,1.0000542168778646,1.033347648982497,1.0155832476528746,650,rg60,0,0,0,22.46302410841908,baseline,0,0,0,1.0000630515841442,1.0000542168778646,1.033347648982497,1.0217869738359269,1.0122015170560414,1.0189429263171148,1.0205207594843233,1.0196208909993296,1.01894292355526,1.01877262744852,1.0054954002061494,1.0080710202181233,1.0213441359836892,1.0229681816695833,1.0189429403236578,1.008256747903765
52,260,4.333333333333333,0.4766666666666666,0.0,0.0,1.000053865402392,1.0333470781571827,1.0154839934563347,650,rg60,0,0,0,22.62710957693765,baseline,0,0,0,1.0000627784133342,1.000053865402392,1.0333470781571827,1.0217085031344604,1.0120882824770072,1.0188187417745616,1.0204415859445874,1.0195386283140955,1.0188187390026382,1.0186425661764744,1.0052738797024667,1.007910936550217,1.0212521702625141,1.0228939928414857,1.0188187557794952,1.0080733913684394
53,265,4.416666666666667,0.47833333333333333,0.0,0.0,1.0000535137916318,1.0333465071441055,1.0153847117369987,650,rg60,0,0,0,22.791988096845685,baseline,0,0,0,1.000062505140342,1.0000535137916318,1.0333465071441055,1.0216300083800889,1.0119750153142497,1.0186945215434593,1.020362393624319,1.0194563473412195,1.0186945187614642,1.018512467081836,1.0050522990164026,1.007750813963933,1.0211601763888891,1.0228197809945991,1.018694535546783,1.0078899837586541
54,270,4.5,0.48,0.0,0.0,1.0000531620446973,1.0333459359414057,1.0152854021863957,650,rg60,0,0,0,22.95766113983039,baseline,0,0,0,1.0000622317644385,1.0000531620446973,1.0333459359414057,1.0215514893634574,1.0118617153493645,1.018570265233657,1.0202831825611764,1.0193740481188622,1.018570262441587,1.0183823297713503,1.0048306577917816,1.0075906511260007,1.0210681540910944,1.022745545920554,1.0185702792353701,1.0077065242275365
55,275,4.583333333333333,0.48666666666666664,0.0,0.0,1.0000517579081165,1.033343656091651,1.014889187612433,650,rg60,0,0,0,23.62829211036521,baseline,0,0,0,1.000061140507164,1.0000517579081165,1.033343656091651,1.0212380631929134,1.0114094749317621,1.0180744054505164,1.019967136506971,1.019045654591522,1.0180744026182913,1.0178630382850902,1.0039482260578168,1.006950564445183,1.0207008667188149,1.022449218831983,1.0180744194457994,1.006974976215334
56,280,4.666666666666667,0.49333333333333335,0.0,0.0,1.0000503475152822,1.0333413665783324,1.014491268046174,650,rg60,0,0,0,24.311673236354274,baseline,0,0,0,1.0000600444338417,1.0000503475152822,1.0333413665783324,1.0209233850442052,1.0109554621068169,1.017576491851177,1.0196498319597207,1.0187160102568618,1.0175764889785777,1.017341548349517,1.0030602298144005,1.006308916837497,1.020332073742117,1.0221517020410698,1.017576505840007,1.0062398833893598
57,285,4.75,0.5,0.0,0.0,1.000048934940346,1.0333390740333177,1.014092903292604,650,rg60,0,0,0,25.007829149532274,baseline,0,0,0,1.0000589467120837,1.000048934940346,1.0333390740333177,1.0206083183395676,1.0105009232593785,1.017078001124206,1.0193322255279313,1.0183860719540851,1.0170779982111835,1.0168194468435932,1.0021712621494907,1.0056666330839408,1.0199628257624482,1.0218538133548982,1.0170780151065755,1.0055039622786202
58,290,4.833333333333333,0.5066666666666666,0.0,0.0,1.0000475201780603,1.0333367784499148,1.0136940921495308,650,rg60,0,0,0,25.716791026204227,baseline,0,0,0,1.0000578473379835,1.0000475201780603,1.0333367784499148,1.020292861977537,1.0100458568279356,1.0165789315682536,1.0190143166209709,1.0180558391047807,1.0165789286147586,1.016296731928227,1.001281322064389,1.0050237101540531,1.019593121467351,1.021555551726664,1.0165789455441556,1.0047672108274552
